period,time,speedup
20.0,1035.76,0.1597872301037315
10.0,211.2,0.07414116308949596
6.666666666666667,65.86,0.03303041245385973
5.0,39.4,0.033001641706034104
4.0,29.94,0.03628563118091914
3.3333333333333335,23.44,0.04179892292877778
2.857142857142857,19.76,0.05082827451383888
2.5,17.3,0.06683665584917324
2.2222222222222223,15.44,0.094180797852873
2.0,14.42,0.14639593908629442
1.8181818181818181,13.68,0.34632911392405064
1.6666666666666667,13.06,0.6773858921161826
1.5384615384615383,12.84,0.8220230473751601
1.4285714285714286,12.42,0.8973988439306358
1.3333333333333333,12.24,1.0016366612111292
1.25,12.12,1.0998185117967332
1.1764705882352942,11.76,1.1529411764705884
1.1111111111111112,11.62,1.2335456475583864
1.0526315789473684,11.44,1.2941176470588236
1.0,11.44,1.375
