period,time,speedup,efficiency
20.0,973.4,0.15016692069878373,0.002346358135918496
10.0,255.34,0.08963638533746165,0.0014005685208978384
6.666666666666667,140.34,0.07038396726047183,0.0010997494884448723
5.0,104.92,0.08788152913190604,0.001373148892686032
4.0,87.3,0.10580279232111693,0.001653168630017452
3.3333333333333335,82.24,0.1466528763507971,0.0022914511929812047
2.857142857142857,79.78,0.20521658606852558,0.003206509157320712
2.5,79.32,0.30644413537320353,0.004788189615206305
2.2222222222222223,78.32,0.4777357569842625,0.007464621202879102
2.0,78.22,0.7941116751269035,0.012407994923857867
1.8181818181818181,78.4,1.9848101265822786,0.031012658227848103
1.6666666666666667,77.9,4.04045643153527,0.06313213174273859
1.5384615384615383,77.96,4.991037131882202,0.07798495518565941
1.4285714285714286,78.04,5.638728323699422,0.08810513005780347
1.3333333333333333,78.14,6.39443535188216,0.09991305237315876
1.25,79.14,7.181488203266788,0.11221075317604357
1.1764705882352942,79.96,7.8392156862745095,0.12248774509803921
1.1111111111111112,79.92,8.48407643312102,0.13256369426751594
1.0526315789473684,79.58,9.002262443438914,0.14066035067873303
1.0,79.82,9.593749999999998,0.14990234374999997
