period,time,speedup
20.0,3039.8,0.46895151586209455
10.0,1031.12,0.361971761765346
6.666666666666667,456.98,0.22918672765206227
5.0,243.66,0.2040908634033571
4.0,150.36,0.1822280395578825
3.3333333333333335,75.66,0.13491921965833303
2.857142857142857,46.72,0.12017697293960283
2.5,31.54,0.12185133673311699
2.2222222222222223,21.6,0.1317555203123094
2.0,18.24,0.18517766497461927
1.8181818181818181,14.82,0.37518987341772153
1.6666666666666667,13.0,0.6742738589211618
1.5384615384615383,11.98,0.7669654289372599
1.4285714285714286,10.92,0.7890173410404624
1.3333333333333333,10.48,0.8576104746317512
1.25,10.0,0.9074410163339384
1.1764705882352942,9.6,0.9411764705882353
1.1111111111111112,9.22,0.9787685774946923
1.0526315789473684,8.96,1.0135746606334843
1.0,8.62,1.036057692307692
