period,time,speedup,efficiency
20.0,803.4,0.12394093290466698,0.0077463083065416865
10.0,187.06,0.06566688431591437,0.004104180269744648
6.666666666666667,63.82,0.032007302198684,0.00200045638741775
5.0,27.32,0.022883371863168824,0.0014302107414480515
4.0,27.34,0.033134574364940855,0.0020709108978088035
3.3333333333333335,25.64,0.04572203002960163,0.002857626876850102
2.857142857142857,24.46,0.06291799567856776,0.003932374729910485
2.5,23.7,0.09156235512285582,0.005722647195178489
2.2222222222222223,23.08,0.1407832133707454,0.008798950835671587
2.0,22.64,0.22984771573604063,0.014365482233502539
1.8181818181818181,22.26,0.5635443037974684,0.03522151898734178
1.6666666666666667,22.08,1.1452282157676348,0.07157676348547717
1.5384615384615383,21.9,1.4020486555697824,0.0876280409731114
1.4285714285714286,21.66,1.5650289017341041,0.09781430635838151
1.3333333333333333,21.34,1.746317512274959,0.10914484451718494
1.25,21.16,1.9201451905626135,0.12000907441016334
1.1764705882352942,21.14,2.0725490196078433,0.1295343137254902
1.1111111111111112,20.92,2.220806794055202,0.13880042462845013
1.0526315789473684,20.9,2.3642533936651584,0.1477658371040724
1.0,20.28,2.4375,0.15234375
