period,time,speedup
20.0,973.4,0.15016692069878373
10.0,255.34,0.08963638533746165
6.666666666666667,140.34,0.07038396726047183
5.0,104.92,0.08788152913190604
4.0,87.3,0.10580279232111693
3.3333333333333335,82.24,0.1466528763507971
2.857142857142857,79.78,0.20521658606852558
2.5,79.32,0.30644413537320353
2.2222222222222223,78.32,0.4777357569842625
2.0,78.22,0.7941116751269035
1.8181818181818181,78.4,1.9848101265822786
1.6666666666666667,77.9,4.04045643153527
1.5384615384615383,77.96,4.991037131882202
1.4285714285714286,78.04,5.638728323699422
1.3333333333333333,78.14,6.39443535188216
1.25,79.14,7.181488203266788
1.1764705882352942,79.96,7.8392156862745095
1.1111111111111112,79.92,8.48407643312102
1.0526315789473684,79.58,9.002262443438914
1.0,79.82,9.593749999999998
