period,time,speedup,efficiency
20.0,1035.76,0.1597872301037315,0.019973403762966437
10.0,211.2,0.07414116308949596,0.009267645386186995
6.666666666666667,65.86,0.03303041245385973,0.004128801556732466
5.0,39.4,0.033001641706034104,0.004125205213254263
4.0,29.94,0.03628563118091914,0.0045357038976148924
3.3333333333333335,23.44,0.04179892292877778,0.005224865366097222
2.857142857142857,19.76,0.05082827451383888,0.00635353431422986
2.5,17.3,0.06683665584917324,0.008354581981146655
2.2222222222222223,15.44,0.094180797852873,0.011772599731609126
2.0,14.42,0.14639593908629442,0.018299492385786802
1.8181818181818181,13.68,0.34632911392405064,0.04329113924050633
1.6666666666666667,13.06,0.6773858921161826,0.08467323651452283
1.5384615384615383,12.84,0.8220230473751601,0.10275288092189501
1.4285714285714286,12.42,0.8973988439306358,0.11217485549132948
1.3333333333333333,12.24,1.0016366612111292,0.12520458265139114
1.25,12.12,1.0998185117967332,0.13747731397459165
1.1764705882352942,11.76,1.1529411764705884,0.14411764705882354
1.1111111111111112,11.62,1.2335456475583864,0.1541932059447983
1.0526315789473684,11.44,1.2941176470588236,0.16176470588235295
1.0,11.44,1.375,0.171875
