period,time,speedup,efficiency
20.0,3039.8,0.46895151586209455,0.11723787896552364
10.0,1031.12,0.361971761765346,0.0904929404413365
6.666666666666667,456.98,0.22918672765206227,0.05729668191301557
5.0,243.66,0.2040908634033571,0.05102271585083928
4.0,150.36,0.1822280395578825,0.045557009889470625
3.3333333333333335,75.66,0.13491921965833303,0.03372980491458326
2.857142857142857,46.72,0.12017697293960283,0.030044243234900708
2.5,31.54,0.12185133673311699,0.030462834183279247
2.2222222222222223,21.6,0.1317555203123094,0.03293888007807735
2.0,18.24,0.18517766497461927,0.046294416243654817
1.8181818181818181,14.82,0.37518987341772153,0.09379746835443038
1.6666666666666667,13.0,0.6742738589211618,0.16856846473029044
1.5384615384615383,11.98,0.7669654289372599,0.19174135723431499
1.4285714285714286,10.92,0.7890173410404624,0.1972543352601156
1.3333333333333333,10.48,0.8576104746317512,0.2144026186579378
1.25,10.0,0.9074410163339384,0.2268602540834846
1.1764705882352942,9.6,0.9411764705882353,0.23529411764705882
1.1111111111111112,9.22,0.9787685774946923,0.24469214437367307
1.0526315789473684,8.96,1.0135746606334843,0.2533936651583711
1.0,8.62,1.036057692307692,0.259014423076923
